F_UserName,User_nIdx,F_Comment,Label,TextLen
原神忠粉,2170,作为米哈游科技（上海）有限公司制作发行的一款开放世界冒险游戏，画面风格精致富有美感，是一款自由度很高的手游大作，我真心想获得本次测试，也会抓住每一个机会，我会努力争取的！[太开心]  旅行者，安柏，凯亚，琴，丽莎，芭芭拉，到时候一定与你们结友！共度时光  加油！#原神#,3.0,135
圈圈喵酱,1321,  [鼓掌],3.0,6
OoooneDay,260,  到时候玩这个游戏，虽然是抄袭的,3.0,17
没头脑吔不高兴,1842,  米哈游！,3.0,6
AirBrighton,952,我只想问一句，什么时候pc可以玩？？？？ ,3.0,21
你好鬼厉先生,278,  这一天终于还是来了,3.0,11
Allanpoe黑猫,2097,我就当联机塞尔达玩了，很多人骂归骂。买还是会买，因为抄塞尔达就不可能不好玩，但我会记得这不是米哈游的实力，你做不出来,3.0,58
Allanpoe黑猫,2097,他们抄的是塞尔达，那就不可能不好玩懂吧？但是这不是他们自己的心血和实力，记住这点,3.0,40
煎饼的红领巾更鲜艳了,832,  来看看有多不要脸,3.0,10
元气燃烧卡路里,2488,   游戏全网抵制真的运行的下去？？？,3.0,19
vic豹,1497,  谢谢老板[二哈],3.0,10
Y口十子,7,希望制作人员全家升天,3.0,10
Y口十子,7,动作有必要全部照搬？走路姿势也有必要去抄尼尔？自己做一套不是原创？那你告诉我什么叫原创？,3.0,44
Y口十子,7,来来来，你说哪些游戏？愚蠢真是可怕,3.0,17
善良温柔又纯洁的鹤叔叔,1607,  已经完全不要脸了,3.0,10
白雨幽花松间露,1781,  [doge],3.0,8
Sapphire_Dias_Phoenix,273,  这家米哈游做的原神的美术风格及各种要素几乎抄袭贵公司的塞尔达，麻烦处理一下,3.0,39
团成个大球,339,[doge]好想快点玩  ,3.0,13
团成个大球,339,要不要试一试运气呀  ,3.0,11
小天使的翅膀硬了你来打我啊,1426,   冲？,3.0,5
E1ectricChair,1958,  进来对线！,3.0,7
反粒子啵,1093,令人窒息[拜拜][拜拜][拜拜],3.0,16
易超,793, ,3.0,1
易超,793,来围观抄袭塞尔达的游戏 ,3.0,12
老老老老老那啊,1158,你们是真不要脸了，哪怕改一改也行啊，复制粘贴不太好吧弟弟,3.0,28
康Connoronnoc,635,  阿港，法务部该上班了,3.0,12
铁胆高铁侠,538,  塞尔达续作,3.0,7
林克没有时间,53,  看看可怜的塞尔达被抄袭了,3.0,14
野鸭子与香烟,341,看出来什么了吗 ,3.0,8
我永远喜欢天女目瑛,1779,什么时候登录ns？   别开发了，正统续作出来了[doge],3.0,30
我永远喜欢天女目瑛,1779, ,3.0,1
登总的猫要叫仙贝,2412,抽什么ps4嘛 抽个ns+旷野之息多好[嘻嘻]  出来骂街,3.0,29
里几,267,  ？？？,3.0,5
起风了alive,1177,      万一中了呢,3.0,11
立志和老番茄成为校友,1489,  明天就可以玩到了！期待！,3.0,14
兔喵酱的幻想,757,    快看看,3.0,7
颜霞-旅游体验师,2075,  转发得奖,3.0,6
胡莱的右手,1333,    ,3.0,4
胡莱的右手,1333,    赶脚还是得有个好肝才行呀。,3.0,17
琥珀h7p9,2479,  嘤嘤嘤想要测试资格[可怜][可怜],3.0,19
i唐唐唐唐唐唐,750,  求给个资格就行了 我不贪心,3.0,15
M一颗洋葱,457,#原神# 安卓手机在心疼  ,3.0,14
Oooooooooooops,742,[跪了][跪了][跪了]  ,3.0,14
sid456838,37,蹭游戏机！  ,3.0,7
胡吃海喝的胖伙计,117,我有都落灰了  ,3.0,8
此人核无趣,182,   [doge]ps4,3.0,12
花果要早睡早起,1632,日常转发  ,3.0,6
花果要早睡早起,1632,今天也要痴心妄想的转发  ,3.0,13
忧鱼与熊掌,1313,  ,3.0,2
忧鱼与熊掌,1313,琪亚娜,3.0,3
樱木仙道13_Phoenix,674,复杂了  ,3.0,5
胡同酱肉,465,   改2台了，中奖率提高百分之一百,3.0,18
胡同酱肉,465,  支持国产游戏,3.0,8
微博抽奖平台,1602,奖品名称：PS4Pro、原初测试资格和派蒙抱枕1份*2人；抽奖时间：2019-06-1512:00:00；抽奖规则：,3.0,58
微博抽奖平台,1602,奖品名称：PS4Pro一台*2人；抽奖时间：2019-06-1512:00:00；抽奖规则：,3.0,46
乌林乌森,250,  PS4！！突突突！！,3.0,12
没茶的小茶壶,680,  感觉挺好玩的哟,3.0,9
春风拂面夜色正浓,2625,周五    毅然领奖[作揖],3.0,14
OK小团长-,148,[太开心][太开心][太开心]  ,3.0,17
OK小团长-,148,[太开心][太开心]抽我  ,3.0,14
湖工软件工程1802班团支部,2578,  爱死,3.0,4
湖工软件工程1802班团支部,2578,  你觉得是不是你,3.0,9
我想中一次奖,872,  ps4！,3.0,6
社畜寻酱,281,  害,3.0,3
道枝一树,2197,  安利！,3.0,5
小小嘿-,1897,[酸] ,3.0,4
世界任务完成了吗,2637,  [doge]cos新方向,3.0,14
天都幽兰,2294,在转发一下 ,3.0,6
天都幽兰,2294, ,3.0,1
XieScorpio,1470,   手机游戏，转一个抽奖哦。,3.0,15
芙芙kira,1086,  现在才看到 马上开奖了[二哈],3.0,17
F秋天的秋田犬,2651,  不知道会不会中奖！,3.0,11
Phan晓鸦,1088,  差点漏了一个,3.0,8
